accession	full_path
GCF_037176765.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/176/765/GCF_037176765.1_rAnoSag1.mat/GCF_037176765.1_rAnoSag1.mat_genomic.gff.gz
GCF_031753505.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/031/753/505/GCF_031753505.1_ASM3175350v1/GCF_031753505.1_ASM3175350v1_genomic.gff.gz
GCF_013758885.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/758/885/GCF_013758885.1_VT_AalbS3_pri_1.0/GCF_013758885.1_VT_AalbS3_pri_1.0_genomic.gff.gz
GCF_943734665.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/665/GCF_943734665.1_idAnoAquaMG_Q_19/GCF_943734665.1_idAnoAquaMG_Q_19_genomic.gff.gz
GCF_016920715.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/920/715/GCF_016920715.1_AaraD3/GCF_016920715.1_AaraD3_genomic.gff.gz
GCF_943735745.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/735/745/GCF_943735745.2_idAnoBellAS_SP24_06.2/GCF_943735745.2_idAnoBellAS_SP24_06.2_genomic.gff.gz
GCF_943734685.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/685/GCF_943734685.1_AcolN3/GCF_943734685.1_AcolN3_genomic.gff.gz
GCF_016920705.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/920/705/GCF_016920705.1_AcolMOP1/GCF_016920705.1_AcolMOP1_genomic.gff.gz
GCF_943734705.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/705/GCF_943734705.1_idAnoCousDA_361_x.2/GCF_943734705.1_idAnoCousDA_361_x.2_genomic.gff.gz
GCF_943734635.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/635/GCF_943734635.1_idAnoCruzAS_RS32_06/GCF_943734635.1_idAnoCruzAS_RS32_06_genomic.gff.gz
GCF_943734745.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/745/GCF_943734745.1_idAnoDarlMG_H_01/GCF_943734745.1_idAnoDarlMG_H_01_genomic.gff.gz
GCF_943734845.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/845/GCF_943734845.2_idAnoFuneDA-416_04/GCF_943734845.2_idAnoFuneDA-416_04_genomic.gff.gz
GCF_943734735.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/735/GCF_943734735.2_idAnoGambNW_F1_1/GCF_943734735.2_idAnoGambNW_F1_1_genomic.gff.gz
GCF_000005575.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/575/GCF_000005575.2_AgamP3//GCF_000005575.2_AgamP3_genomic.gff.gz
GCA_000005575.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/575/GCA_000005575.1_AgamP3//GCA_000005575.1_AgamP3_genomic.gff.gz
GCF_943734695.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/695/GCF_943734695.1_idAnoMacuDA_375_x/GCF_943734695.1_idAnoMacuDA_375_x_genomic.gff.gz
GCF_943734725.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/725/GCF_943734725.1_idAnoMarsDA_429_01/GCF_943734725.1_idAnoMarsDA_429_01_genomic.gff.gz
GCF_017562075.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/562/075/GCF_017562075.2_AmerM5.1/GCF_017562075.2_AmerM5.1_genomic.gff.gz
GCF_943734755.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/755/GCF_943734755.1_idAnoMoucSN_F20_07/GCF_943734755.1_idAnoMoucSN_F20_07_genomic.gff.gz
GCF_943737925.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/737/925/GCF_943737925.1_idAnoNiliSN_F5_01/GCF_943737925.1_idAnoNiliSN_F5_01_genomic.gff.gz
GCF_013141755.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/141/755/GCF_013141755.1_UCI_ANSTEP_V1.0/GCF_013141755.1_UCI_ANSTEP_V1.0_genomic.gff.gz
GCF_943734765.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/765/GCF_943734765.1_idAnoZiCoDA_A2_x.2/GCF_943734765.1_idAnoZiCoDA_A2_x.2_genomic.gff.gz
GCF_027596085.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/596/085/GCF_027596085.1_Afim_UVic_2022/GCF_027596085.1_Afim_UVic_2022_genomic.gff.gz
GCF_040182565.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/182/565/GCF_040182565.1_Taihu_goose_T2T_genome/GCF_040182565.1_Taihu_goose_T2T_genome_genomic.gff.gz
GCF_016432865.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/432/865/GCF_016432865.1_AdamAnt_v2/GCF_016432865.1_AdamAnt_v2_genomic.gff.gz
GCF_040054535.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/054/535/GCF_040054535.1_ASM4005453v1/GCF_040054535.1_ASM4005453v1_genomic.gff.gz
GCF_022605725.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/605/725/GCF_022605725.1_icAntGran1.3/GCF_022605725.1_icAntGran1.3_genomic.gff.gz
GCF_041296385.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/296/385/GCF_041296385.1_UR_Acoe_1.0/GCF_041296385.1_UR_Acoe_1.0_genomic.gff.gz
GCF_014905175.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/905/175/GCF_014905175.1_ASM1490517v1/GCF_014905175.1_ASM1490517v1_genomic.gff.gz
GCA_014905175.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/905/175/GCA_014905175.1_ASM1490517v1//GCA_014905175.1_ASM1490517v1_genomic.gff.gz
GCF_020184175.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/184/175/GCF_020184175.1_ASM2018417v2/GCF_020184175.1_ASM2018417v2_genomic.gff.gz
GCA_917880025.4	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/917/880/025/GCA_917880025.4_PGI_APHIGO_v101//GCA_917880025.4_PGI_APHIGO_v101_genomic.gff.gz
GCF_029169275.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/169/275/GCF_029169275.1_AcerK_1.0/GCF_029169275.1_AcerK_1.0_genomic.gff.gz
GCF_003254395.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/254/395/GCF_003254395.2_Amel_HAv3.1/GCF_003254395.2_Amel_HAv3.1_genomic.gff.gz
GCF_000002195.4	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/195/GCF_000002195.4_Amel_4.5//GCF_000002195.4_Amel_4.5_genomic.gff.gz
GCA_013841245.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/841/245/GCA_013841245.2_ASM1384124v2//GCA_013841245.2_ASM1384124v2_genomic.gff.gz
GCA_009905375.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/905/375/GCA_009905375.1_ASM990537v1//GCA_009905375.1_ASM990537v1_genomic.gff.gz
GCF_947179515.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/947/179/515/GCF_947179515.1_mApoSyl1.1/GCF_947179515.1_mApoSyl1.1_genomic.gff.gz
GCA_009739505.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/739/505/GCA_009739505.2_ASM973950v2//GCA_009739505.2_ASM973950v2_genomic.gff.gz
GCF_036417845.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/417/845/GCF_036417845.1_bAptMan1.hap1/GCF_036417845.1_bAptMan1.hap1_genomic.gff.gz
GCF_020740795.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/740/795/GCF_020740795.1_bApuApu2.pri.cur/GCF_020740795.1_bApuApu2.pri.cur_genomic.gff.gz
GCA_035610365.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/610/365/GCA_035610365.1_HAU_Aqlei_1.0//GCA_035610365.1_HAU_Aqlei_1.0_genomic.gff.gz
GCF_900496995.4	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/496/995/GCF_900496995.4_bAquChr1.4/GCF_900496995.4_bAquChr1.4_genomic.gff.gz
GCA_905216605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/905/216/605/GCA_905216605.1_AARE701a//GCA_905216605.1_AARE701a_genomic.gff.gz
